,0,1
775,3-229-j18-1,Bus
776,79-229-j18-1,Bus
777,30-22-Y-j18-1,Bus
778,59-22-Y-j18-1,InterRegio
779,66-22-Y-j18-1,Regionalzug
780,68-22-Y-j18-1,S-Bahn
781,79-22-Y-j18-1,RegioExpress
782,80-22-Y-j18-1,RegioExpress
783,1-23-j18-1,S-Bahn
784,2-23-j18-1,S-Bahn
785,3-23-j18-1,S-Bahn
786,11-23-j18-1,Bus
787,12-23-j18-1,Bus
788,17-23-A-j18-1,Bus
789,17-23-j18-1,Bus
790,18-23-j18-1,Bus
791,19-23-j18-1,S-Bahn
792,21-23-j18-1,S-Bahn
793,26-23-j18-1,S-Bahn
794,79-23-A-j18-1,Bus
795,79-23-B-j18-1,Bus
796,79-23-j18-1,Bus
797,2-230-j18-1,Bus
798,6-230-j18-1,Bus
799,24-230-j18-1,Bus
800,26-230-j18-1,Bus
801,1-231-j18-1,Bus
802,6-231-A-j18-1,Bus
803,6-231-j18-1,Bus
804,8-231-j18-1,Bus
805,11-231-j18-1,Bus
806,12-231-j18-1,Bus
807,20-231-j18-1,Bus
808,6-232-j18-1,Bus
809,11-232-j18-1,Bus
810,12-232-j18-1,Bus
811,26-232-j18-1,Bus
812,79-232-j18-1,Bus
